"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
1999-11-18,44.000,31.8180173661,,,,,,,,,,,,,,
1999-11-19,40.380,29.2002623010,,,,,,,,,,,,,,
1999-11-22,44.000,31.8180173661,,,,,,,,,,,,,,
1999-11-23,40.250,29.1062545224,,,,,,,,,,,,,,
1999-11-24,41.060,29.6919952967,,,,,,,,,,,,,,
1999-11-26,41.190,29.7860030753,,,,,,,,,,,,,,
1999-11-29,42.130,30.4657516281,,,,,,,,,,,,,,
1999-11-30,42.190,30.5091398336,,,,,,,,,,,,,,
1999-12-01,42.940,31.0514924023,,,,,,,,,,,,,,
1999-12-02,44.130,31.9120251447,,,,,,,,,,,,,,
1999-12-03,44.500,32.1795857453,,,,,,,,,,,,,,
1999-12-06,45.750,33.0835066932,,,,,,,,,,,,,,
1999-12-07,45.250,32.7219383140,,,,,,,,,,,,,,
1999-12-08,45.190,32.6785501085,,,,,,,,,,,,,,
1999-12-09,45.810,33.1268948987,,,,,,,,,,,,,,
1999-12-10,44.750,32.3603699349,,,,,,,,,,,,,,
1999-12-13,45.500,32.9027225036,,,,,,,,,,,,,,
1999-12-14,43.000,31.0948806078,,,,,,,,,,,,,,
1999-12-15,41.690,30.1475714544,,,,,,,,,,,,,,
1999-12-16,47.250,34.1682118307,,,,,,,,,,,,,,
1999-12-17,45.940,33.2209026773,,,,,,,,,,,,,,
1999-12-20,46.880,33.9006512301,,,,,,,,,,,,,,
1999-12-21,46.630,33.7198670405,,,,,,,,,,,,,,
1999-12-22,47.560,34.3923842258,,,,,,,,,,,,,,
1999-12-23,49.750,35.9760537265,,,,,,,,,,,,,,
1999-12-27,52.810,38.1888522069,,,,,,,,,,,,,,
1999-12-28,61.500,44.4729106368,,,,,,,,,,,,,,
1999-12-29,72.000,52.0658465991,,,,,,,,,,,,,,
1999-12-30,79.250,57.3085880970,,,,,,,,,,,,,,
1999-12-31,77.310,55.9057027858,,,,,,,,,,,,,,
