"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2014-10-07,15.95,15.95,,,,,,,,,,,,,,
2014-10-16,14.60,14.60,,,,,,,,,,,,,,
2016-11-01,23.00,23.00,,,,,,,,,,,,,,
2016-11-02,22.91,22.91,,,,,,,,,,,,,,
2016-11-03,24.15,24.15,,,,,,,,,,,,,,
2016-11-04,25.20,25.20,,,,,,,,,,,,,,
2016-11-07,25.08,25.08,,,,,,,,,,,,,,
2016-11-08,26.40,26.40,,,,,,,,,,,,,,
2016-11-09,28.72,28.72,,,,,,,,,,,,,,
2016-11-10,29.10,29.10,,,,,,,,,,,,,,
2016-11-11,29.30,29.30,,,,,,,,,,,,,,
2016-11-14,29.62,29.62,,,,,,,,,,,,,,
2016-11-15,30.21,30.21,,,,,,,,,,,,,,
2016-11-16,31.42,31.42,,,,,,,,,,,,,,
2016-11-17,31.85,31.85,,,,,,,,,,,,,,
2016-11-18,30.42,30.42,,,,,,,,,,,,,,
2016-11-21,30.69,30.69,,,,,,,,,,,,,,
2016-11-22,31.34,31.34,,,,,,,,,,,,,,
2016-11-23,31.51,31.51,,,,,,,,,,,,,,
2016-11-25,31.70,31.70,,,182869294.99392010,5796956651.3072671700,,,,,,,,,,
2016-11-28,30.86,30.86,,,182869295.00095300,5643346443.7294095800,,,,,,,,,,
2016-11-29,29.73,29.73,,,182869294.98298928,5436704139.8442712944,,,,,,,,,,
2016-11-30,28.97,28.97,,,182869295.01379517,5297723476.5496460749,,,,,,,,,,
2016-12-01,28.88,28.88,,,182869294.99861800,5281265239.5600878400,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-02,29.04,29.04,,,182869295.01461184,5310524327.2243278336,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-05,31.22,31.22,,,182869294.98760274,5709179389.5129575428,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-06,31.15,31.15,,,182869294.98915964,5696378538.9123227860,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-07,30.90,30.90,,,182869294.99381366,5650661215.3088420940,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-08,31.31,31.31,,,182869295.00167730,5725637626.5025162630,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-09,32.05,32.05,,,182869294.99321637,5860960904.5325846585,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-12,31.24,31.24,,,182869295.00326120,5712836775.9018798880,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-13,30.24,30.24,,,182869294.99536318,5529967480.6597825632,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-14,30.45,30.45,,,182869294.99296337,5568370032.5357346165,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-15,29.79,29.79,,,182869294.99203180,5447676297.8126273220,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-16,29.40,29.40,,,182869295.00026795,5376357273.0078777300,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-19,29.29,29.29,,,182869295.00695670,5356241650.7537617430,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
2016-12-20,30.16,30.16,,,182869295.00506702,5515337937.3528213232,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295,182869295
