"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2006-12-29,25.5400,25.5400,,,,,,,,,,,,,,
2007-01-03,25.6100,25.6100,,,,,,,,,,,,,,
2007-01-04,26.8500,26.8500,,,,,,,,,,,,,,
2007-01-05,27.7400,27.7400,,,,,,,,,,,,,,
2007-01-08,27.9200,27.9200,,,,,,,,,,,,,,
2007-01-09,27.5800,27.5800,,,,,,,,,,,,,,
2007-01-10,28.7000,28.7000,,,,,,,,,,,,,,
2007-01-11,29.2000,29.2000,,,,,,,,,,,,,,
2007-01-12,29.4500,29.4500,,,,,,,,,,,,,,
2007-01-16,29.2900,29.2900,,,,,,,,,,,,,,
2007-01-17,29.0500,29.0500,,,,,,,,,,,,,,
2007-01-18,28.1200,28.1200,,,,,,,,,,,,,,
2007-01-19,27.6390,27.6390,,,,,,,,,,,,,,
2007-01-22,27.4200,27.4200,,,,,,,,,,,,,,
2007-01-23,26.9600,26.9600,,,,,,,,,,,,,,
2007-01-24,28.9400,28.9400,,,,,,,,,,,,,,
2007-01-25,28.2100,28.2100,,,,,,,,,,,,,,
2007-01-26,28.0400,28.0400,,,,,,,,,,,,,,
2007-01-29,27.8700,27.8700,,,,,,,,,,,,,,
2007-01-30,28.0400,28.0400,,,,,,,,,,,,,,
2007-01-31,28.3100,28.3100,,,,,,,,,,,,,,
2007-02-01,28.3500,28.3500,,,,,,,,,,,,,,
2007-02-02,28.7700,28.7700,,,,,,,,,,,,,,
2007-02-05,28.5600,28.5600,,,,,,,,,,,,,,
2007-02-06,29.3500,29.3500,,,,,,,,,,,,,,
2007-02-07,29.8900,29.8900,,,,,,,,,,,,,,
2007-02-08,30.0800,30.0800,,,,,,,,,,,,,,
2007-02-09,29.7400,29.7400,,,,,,,,,,,,,,
2007-02-12,29.1700,29.1700,,,,,,,,,,,,,,
2007-02-13,29.5600,29.5600,,,,,,,,,,,,,,
2007-02-14,30.6600,30.6600,,,,,,,,,,,,,,
2007-02-15,31.2500,31.2500,,,,,,,,,,,,,,
2007-02-16,31.9100,31.9100,,,,,,,,,,,,,,
2007-02-20,32.0100,32.0100,,,,,,,,,,,,,,
2007-02-21,31.6500,31.6500,,,,,,,,,,,,,,
2007-02-22,31.6000,31.6000,,,,,,,,,,,,,,
2007-02-23,32.1000,32.1000,,,,,,,,,,,,,,
2007-02-26,32.1200,32.1200,,,,,,,,,,,,,,
2007-02-27,30.9500,30.9500,,,,,,,,,,,,,,
2007-02-28,30.8600,30.8600,,,,,,,,,,,,,,
2007-03-01,30.8600,30.8600,,,,,,,,,,,,,,
2007-03-02,30.4200,30.4200,,,,,,,,,,,,,,
2007-03-05,30.3100,30.3100,,,,,,,,,,,,,,
2007-03-06,30.8000,30.8000,,,,,,,,,,,,,,
2007-03-07,30.3900,30.3900,,,,,,,,,,,,,,
2007-03-08,30.7100,30.7100,,,,,,,,,,,,,,
2007-03-09,29.1200,29.1200,,,,,,,,,,,,,,
2007-03-12,29.9900,29.9900,,,,,,,,,,,,,,
2007-03-13,29.5600,29.5600,,,,,,,,,,,,,,
2007-03-14,29.8600,29.8600,,,,,,,,,,,,,,
2007-03-15,30.0600,30.0600,,,,,,,,,,,,,,
2007-03-16,29.8800,29.8800,,,,,,,,,,,,,,
2007-03-19,30.0300,30.0300,,,,,,,,,,,,,,
2007-03-20,30.3300,30.3300,,,,,,,,,,,,,,
2007-03-21,31.2900,31.2900,,,,,,,,,,,,,,
2007-03-22,31.2600,31.2600,,,,,,,,,,,,,,
2007-03-23,31.3600,31.3600,,,,,,,,,,,,,,
2007-03-26,31.6600,31.6600,,,,,,,,,,,,,,
2007-03-27,31.5500,31.5500,,,,,,,,,,,,,,
2007-03-28,31.4100,31.4100,,,,,,,,,,,,,,
2007-03-29,31.3400,31.3400,,,,,,,,,,,,,,
2007-03-30,31.2900,31.2900,,,,,,,,,,,,,,
2007-04-02,31.2800,31.2800,,,,,,,,,,,,,,
2007-04-03,31.7200,31.7200,,,,,,,,,,,,,,
2007-04-04,31.6200,31.6200,,,,,,,,,,,,,,
2007-04-05,31.9500,31.9500,,,,,,,,,,,,,,
2007-04-09,31.6400,31.6400,,,,,,,,,,,,,,
2007-04-10,31.6900,31.6900,,,,,,,,,,,,,,
2007-04-11,31.1700,31.1700,,,,,,,,,,,,,,
2007-04-12,31.2100,31.2100,,,,,,,,,,,,,,
2007-04-13,31.4100,31.4100,,,,,,,,,,,,,,
2007-04-16,31.6100,31.6100,,,,,,,,,,,,,,
2007-04-17,32.0900,32.0900,,,,,,,,,,,,,,
2007-04-18,28.3100,28.3100,,,,,,,,,,,,,,
2007-04-19,27.5100,27.5100,,,,,,,,,,,,,,
2007-04-20,27.4600,27.4600,,,,,,,,,,,,,,
2007-04-23,27.8800,27.8800,,,,,,,,,,,,,,
2007-04-24,28.0200,28.0200,,,,,,,,,,,,,,
2007-04-25,28.0600,28.0600,,,,,,,,,,,,,,
2007-04-26,28.4890,28.4890,,,,,,,,,,,,,,
2007-04-27,28.3430,28.3430,,,,,,,,,,,,,,
2007-04-30,28.0400,28.0400,,,,,,,,,,,,,,
2007-05-01,27.6050,27.6050,,,,,,,,,,,,,,
2007-05-02,28.1200,28.1200,,,,,,,,,,,,,,
2007-05-03,28.1800,28.1800,,,,,,,,,,,,,,
2007-05-04,30.9800,30.9800,,,,,,,,,,,,,,
2007-05-07,30.3800,30.3800,,,,,,,,,,,,,,
2007-05-08,30.4100,30.4100,,,,,,,,,,,,,,
2007-05-09,30.2200,30.2200,,,,,,,,,,,,,,
2007-05-10,29.7000,29.7000,,,,,,,,,,,,,,
