"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2009-06-10,0.4700,9.4000,,,,,,,,,,,,,,
2009-06-11,0.4500,9.0000,,,,,,,,,,,,,,
2009-06-12,0.4400,8.8000,,,,,,,,,,,,,,
2009-06-15,0.4100,8.2000,,,,,,,,,,,,,,
2009-06-16,0.4100,8.2000,,,,,,,,,,,,,,
2009-06-17,0.4100,8.2000,,,,,,,,,,,,,,
2009-06-18,0.4000,8.0000,,,,,,,,,,,,,,
2009-06-19,0.4000,8.0000,,,,,,,,,,,,,,
2009-06-22,0.4000,8.0000,,,,,,,,,,,,,,
2009-06-23,0.4200,8.4000,,,,,,,,,,,,,,
2009-06-24,0.3900,7.8000,,,,,,,,,,,,,,
2009-06-25,0.4100,8.2000,,,,,,,,,,,,,,
2009-06-26,0.3200,6.4000,,,,,,,,,,,,,,
2009-06-29,0.3700,7.4000,,,,,,,,,,,,,,
2009-06-30,0.3800,7.6000,,,,,,,,,,,,,,
2009-07-01,0.4000,8.0000,,,,,,,,,,,,,,
2009-07-02,0.3820,7.6400,,,,,,,,,,,,,,
2009-07-03,0.3820,7.6400,,,,,,,,,,,,,,
2009-07-06,0.3700,7.4000,,,,,,,,,,,,,,
2009-07-07,0.3700,7.4000,,,,,,,,,,,,,,
2009-07-08,0.3700,7.4000,,,,,,,,,,,,,,
2009-07-09,0.3501,7.0020,,,,,,,,,,,,,,
2009-07-10,0.3500,7.0000,,,,,,,,,,,,,,
2009-07-13,0.3500,7.0000,,,,,,,,,,,,,,
2009-07-14,0.4400,8.8000,,,,,,,,,,,,,,
2009-07-15,0.3999,7.9980,,,,,,,,,,,,,,
2009-07-16,0.3810,7.6200,,,,,,,,,,,,,,
2009-07-17,0.3900,7.8000,,,,,,,,,,,,,,
2009-07-20,0.4100,8.2000,,,,,,,,,,,,,,
2009-07-21,0.3700,7.4000,,,,,,,,,,,,,,
2009-07-22,0.4200,8.4000,,,,,,,,,,,,,,
2009-07-23,0.4300,8.6000,,,,,,,,,,,,,,
2009-07-24,0.4120,8.2400,,,,,,,,,,,,,,
2009-07-27,0.4200,8.4000,,,,,,,,,,,,,,
2009-07-28,0.4100,8.2000,,,,,,,,,,,,,,
2009-07-29,0.4000,8.0000,,,,,,,,,,,,,,
2009-07-30,0.3900,7.8000,,,,,,,,,,,,,,
2009-07-31,0.4150,8.3000,,,,,,,,,,,,,,
2009-08-03,0.4250,8.5000,,,,,,,,,,,,,,
2009-08-04,0.4350,8.7000,,,,,,,,,,,,,,
2009-08-05,0.4349,8.6980,,,,,,,,,,,,,,
2009-08-06,0.4500,9.0000,,,,,,,,,,,,,,
2009-08-07,0.4600,9.2000,,,,,,,,,,,,,,
2009-08-10,0.4500,9.0000,,,,,,,,,,,,,,
2009-08-11,0.4300,8.6000,,,,,,,,,,,,,,
2009-08-12,0.4600,9.2000,,,,,,,,,,,,,,
2009-08-13,0.4800,9.6000,,,,,,,,,,,,,,
2009-08-14,0.4600,9.2000,,,,,,,,,,,,,,
2009-08-17,0.4300,8.6000,,,,,,,,,,,,,,
2009-08-18,0.4400,8.8000,,,,,,,,,,,,,,
2009-08-19,0.4300,8.6000,,,,,,,,,,,,,,
2009-08-20,0.4600,9.2000,,,,,,,,,,,,,,
2009-08-21,0.4900,9.8000,,,,,,,,,,,,,,
2009-08-24,0.4701,9.4020,,,,,,,,,,,,,,
2009-08-25,0.4500,9.0000,,,,,,,,,,,,,,
2009-08-26,0.4600,9.2000,,,,,,,,,,,,,,
2009-08-27,0.5420,10.8400,,,,,,,,,,,,,,
2009-08-28,0.5400,10.8000,,,,,,,,,,,,,,
2009-08-31,0.5200,10.4000,,,,,,,,,,,,,,
2009-09-01,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-02,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-03,0.4600,9.2000,,,,,,,,,,,,,,
2009-09-04,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-08,0.5000,10.0000,,,,,,,,,,,,,,
2009-09-09,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-10,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-11,0.4800,9.6000,,,,,,,,,,,,,,
2009-09-14,0.4800,9.6000,,,,,,,,,,,,,,
2009-09-15,0.5200,10.4000,,,,,,,,,,,,,,
2009-09-16,0.5100,10.2000,,,,,,,,,,,,,,
2009-09-17,0.4900,9.8000,,,,,,,,,,,,,,
2009-09-18,0.4700,9.4000,,,,,,,,,,,,,,
2009-09-21,0.4800,9.6000,,,,,,,,,,,,,,
2009-09-22,0.5800,11.6000,,,,,,,,,,,,,,
2009-09-23,0.5000,10.0000,,,,,,,,,,,,,,
2009-09-24,0.5000,10.0000,,,,,,,,,,,,,,
2009-09-25,0.5143,10.2860,,,,,,,,,,,,,,
2009-09-28,0.5093,10.1860,,,,,,,,,,,,,,
2009-09-29,0.5000,10.0000,,,,,,,,,,,,,,
2009-09-30,0.4900,9.8000,,,,,,,,,,,,,,
2009-10-01,0.4750,9.5000,,,,,,,,,,,,,,
2009-10-02,0.4500,9.0000,,,,,,,,,,,,,,
2009-10-05,0.4400,8.8000,,,,,,,,,,,,,,
2009-10-06,0.5000,10.0000,,,,,,,,,,,,,,
2009-10-07,10.5600,10.5600,20,1,,,,,,,,,,,,
2009-10-08,11.3500,11.3500,,,,,,,,,,,,,,
2009-10-09,11.3801,11.3801,,,,,,,,,,,,,,
2009-10-12,11.8500,11.8500,,,,,,,,,,,,,,
2009-10-13,11.8000,11.8000,,,,,,,,,,,,,,
2009-10-14,12.4000,12.4000,,,,,,,,,,,,,,
2009-10-15,13.5000,13.5000,,,,,,,,,,,,,,
2009-10-16,13.3600,13.3600,,,,,,,,,,,,,,
2009-10-19,14.0000,14.0000,,,,,,,,,,,,,,
2009-10-20,14.0500,14.0500,,,,,,,,,,,,,,
2009-10-21,14.0500,14.0500,,,,,,,,,,,,,,
2009-10-22,14.2000,14.2000,,,,,,,,,,,,,,
2009-10-23,14.0000,14.0000,,,,,,,,,,,,,,
2009-10-26,13.0900,13.0900,,,,,,,,,,,,,,
2009-10-27,12.4000,12.4000,,,,,,,,,,,,,,
2009-10-28,11.6800,11.6800,,,,,,,,,,,,,,
2009-10-29,12.2700,12.2700,,,,,,,,,,,,,,
2009-10-30,11.7400,11.7400,,,,,,,,,,,,,,
2009-11-02,12.0400,12.0400,,,,,,,,,,,,,,
2009-11-03,12.1800,12.1800,,,,,,,,,,,,,,
2009-11-04,12.4700,12.4700,,,,,,,,,,,,,,
2009-11-05,12.4500,12.4500,,,,,,,,,,,,,,
2009-11-06,11.8200,11.8200,,,,,,,,,,,,,,
2009-11-09,12.6800,12.6800,,,,,,,,,,,,,,
2009-11-10,13.7000,13.7000,,,,,,,,,,,,,,
2009-11-11,13.7700,13.7700,,,,,,,,,,,,,,
2009-11-12,13.0100,13.0100,,,,,,,,,,,,,,
2009-11-13,12.9600,12.9600,,,,,,,,,,,,,,
2009-11-16,12.9900,12.9900,,,,,,,,,,,,,,
2009-11-17,12.8200,12.8200,,,,,,,,,,,,,,
2009-11-27,13.2400,13.2400,,,,,,,,,,,,,,
2009-11-30,13.2500,13.2500,,,,,,,,,,,,,,
2009-12-01,13.4300,13.4300,,,,,,,,,,,,,,
2009-12-02,13.5200,13.5200,,,,,,,,,,,,,,
2009-12-03,13.5000,13.5000,,,,,,,,,,,,,,
2009-12-04,13.9000,13.9000,,,,,,,,,,,,,,
2009-12-07,14.7600,14.7600,,,,,,,,,,,,,,
2009-12-08,14.6100,14.6100,,,,,,,,,,,,,,
2009-12-09,14.5500,14.5500,,,,,,,,,,,,,,
2009-12-10,14.6300,14.6300,,,,,,,,,,,,,,
2009-12-11,14.2500,14.2500,,,,,,,,,,,,,,
2009-12-14,14.7600,14.7600,,,,,,,,,,,,,,
2009-12-15,14.7500,14.7500,,,,,,,,,,,,,,
2009-12-16,15.4500,15.4500,,,,,,,,,,,,,,
2009-12-17,15.5400,15.5400,,,,,,,,,,,,,,
2009-12-18,15.2000,15.2000,,,,,,,,,,,,,,
2009-12-21,15.4000,15.4000,,,,,,,,,,,,,,
2009-12-22,16.0001,16.0001,,,,,,,,,,,,,,
2009-12-23,15.6900,15.6900,,,,,,,,,,,,,,
2009-12-24,15.7900,15.7900,,,,,,,,,,,,,,
2009-12-28,15.6000,15.6000,,,,,,,,,,,,,,
2009-12-29,15.4300,15.4300,,,,,,,,,,,,,,
2009-12-30,15.1800,15.1800,,,,,,,,,,,,,,
2009-12-31,15.2300,15.2300,,,,,,,,,,,,,,
2010-01-04,15.7600,15.7600,,,,,,,,,,,,,,
2010-01-05,16.0900,16.0900,,,,,,,,,,,,,,
2010-01-06,16.0800,16.0800,,,,,,,,,,,,,,
2010-01-07,16.0500,16.0500,,,,,,,,,,,,,,
2010-01-08,16.1000,16.1000,,,,,,,,,,,,,,
2010-01-11,15.8800,15.8800,,,,,,,,,,,,,,
2010-01-12,16.1500,16.1500,,,,,,,,,,,,,,
2010-01-13,16.1500,16.1500,,,,,,,,,,,,,,
2010-01-14,16.1700,16.1700,,,,,,,,,,,,,,
2010-01-15,16.0500,16.0500,,,,,,,,,,,,,,
2010-01-18,16.0500,16.0500,,,,,,,,,,,,,,
2010-01-19,16.0200,16.0200,,,,,,,,,,,,,,
2010-01-20,16.2000,16.2000,,,,,,,,,,,,,,
2010-01-21,16.0600,16.0600,,,,,,,,,,,,,,
