"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
1990-01-02,37.2500,0.3325892857,,,,,,,,,,,,,,
1990-01-03,37.5000,0.3348214286,,,,,,,,,,,,,,
1990-01-04,37.6300,0.3359821429,,,,,,,,,,,,,,
1990-01-05,37.7500,0.3370535714,,,,,,,,,,,,,,
1990-01-08,38.0000,0.3392857143,,,,,,,,,,,,,,
1990-01-09,37.6300,0.3359821429,,,,,,,,,,,,,,
1990-01-10,36.0000,0.3214285714,,,,,,,,,,,,,,
1990-01-11,34.5000,0.3080357143,,,,,,,,,,,,,,
1990-01-12,34.5000,0.3080357143,,,,,,,,,,,,,,
1990-01-15,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-01-16,34.8800,0.3114285714,,,,,,,,,,,,,,
1990-01-17,33.2500,0.2968750000,,,,,,,,,,,,,,
1990-01-18,32.3800,0.2891071429,,,,,,,,,,,,,,
1990-01-19,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-01-22,33.2500,0.2968750000,,,,,,,,,,,,,,
1990-01-23,33.7500,0.3013392857,,,,,,,,,,,,,,
1990-01-24,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-01-25,34.1300,0.3047321429,,,,,,,,,,,,,,
1990-01-26,32.7500,0.2924107143,,,,,,,,,,,,,,
1990-01-29,33.2500,0.2968750000,,,,,,,,,,,,,,
1990-01-30,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-01-31,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-02-01,33.6300,0.3002678571,,,,,,,,,,,,,,
1990-02-02,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-02-05,35.0000,0.3125000000,,,,,,,,,,,,,,
1990-02-06,34.7500,0.3102678571,,,,,,,,,,,,,,
1990-02-07,33.2500,0.2968750000,,,,,,,,,,,,,,
1990-02-08,33.0000,0.2946428571,,,,,,,,,,,,,,
1990-02-09,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-02-12,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-02-13,34.5000,0.3080357143,,,,,,,,,,,,,,
1990-02-14,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-02-15,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-02-16,33.7500,0.3013392857,,,,,,,,,,,,,,
1990-02-20,33.5000,0.2991071429,,,,,,,,,,,,,,
1990-02-21,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-02-22,33.0000,0.2946428571,,,,,,,,,,,,,,
1990-02-23,33.2500,0.2968750000,,,,,,,,,,,,,,
1990-02-26,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-02-27,33.5000,0.2991071429,,,,,,,,,,,,,,
1990-02-28,34.0000,0.3035714286,,,,,,,,,,,,,,
1990-03-01,34.2500,0.3058035714,,,,,,,,,,,,,,
1990-03-02,33.7500,0.3013392857,,,,,,,,,,,,,,
1990-03-05,34.5000,0.3080357143,,,,,,,,,,,,,,
1990-03-06,35.2500,0.3147321429,,,,,,,,,,,,,,
1990-03-07,35.3800,0.3158928571,,,,,,,,,,,,,,
1990-03-08,36.7500,0.3281250000,,,,,,,,,,,,,,
1990-03-09,36.8800,0.3292857143,,,,,,,,,,,,,,
1990-03-12,36.6300,0.3270535714,,,,,,,,,,,,,,
1990-03-13,36.8800,0.3292857143,,,,,,,,,,,,,,
1990-03-14,37.0000,0.3303571429,,,,,,,,,,,,,,
1990-03-15,36.7500,0.3281250000,,,,,,,,,,,,,,
1990-03-16,40.2500,0.3593750000,,,,,,,,,,,,,,
1990-03-19,42.3800,0.3783928571,,,,,,,,,,,,,,
1990-03-20,41.3800,0.3694642857,,,,,,,,,,,,,,
1990-03-21,41.6300,0.3716964286,,,,,,,,,,,,,,
1990-03-22,40.7500,0.3638392857,,,,,,,,,,,,,,
1990-03-23,42.2500,0.3772321429,,,,,,,,,,,,,,
1990-03-26,42.2500,0.3772321429,,,,,,,,,,,,,,
1990-03-27,42.0000,0.3750000000,,,,,,,,,,,,,,
1990-03-28,41.2500,0.3683035714,,,,,,,,,,,,,,
1990-03-29,41.1300,0.3672321429,,,,,,,,,,,,,,
1990-03-30,40.2500,0.3593750000,,,,,,,,,,,,,,
1990-04-02,40.2500,0.3593750000,,,,,,,,,,,,,,
1990-04-03,41.7500,0.3727678571,,,,,,,,,,,,,,
1990-04-04,41.2500,0.3683035714,,,,,,,,,,,,,,
1990-04-05,40.2500,0.3593750000,,,,,,,,,,,,,,
1990-04-06,39.8800,0.3560714286,,,,,,,,,,,,,,
