"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2019-05-20,18.0000,180.0000,,,1496566.5000000000,269381970.00000000000000,205100000,205100000,20510000,20510000,21388411,,,,,
2019-05-21,18.0000,180.0000,,,1496566.5000000000,269381970.00000000000000,205100000,205100000,20510000,20510000,21388411,,,,,
2019-05-23,20.0000,200.0000,,,1496566.5000000000,299313300.00000000000000,205100000,205100000,20510000,20510000,21388411,,,,,
2019-05-24,21.0000,210.0000,,,1496566.5000000000,314278965.00000000000000,205100000,205100000,20510000,20510000,21388411,,,,,
2019-05-28,21.0000,210.0000,,,1496566.5000000000,314278965.00000000000000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
2019-05-29,21.5000,215.0000,,,1496566.5023255814,321761798.00000000100000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
2019-06-03,19.5000,195.0000,,,1496566.5025641026,291830468.00000000700000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
2019-06-05,20.0000,200.0000,,,1496566.5000000000,299313300.00000000000000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
2019-06-10,15.0000,150.0000,,,1496566.5000000000,224484975.00000000000000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
2019-06-18,12.0000,120.0000,,,1496566.5000000000,179587980.00000000000000,17694156,17694156,1769416,1769416,1496567,1769415.6,1769415.6,1769416,1769416,1496567
