"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2017-05-16,4.8000,4.8000,10,1,,,,,,,,,,,,
2017-05-17,4.4400,4.4400,,,,,,,,,,,,,,
2017-05-18,4.6900,4.6900,,,,,,,,,,,,,,
2017-05-19,4.6800,4.6800,,,,,,,,,,,,,,
2017-05-22,5.1000,5.1000,,,,,,,,,,,,,,
2017-05-23,4.5000,4.5000,,,,,,,,,,,,,,
2017-05-24,4.8200,4.8200,,,,,,,,,,,,,,
2017-05-25,4.8600,4.8600,,,,,,,,,,,,,,
2017-05-26,4.6200,4.6200,,,,,,,,,,,,,,
2017-05-30,4.7200,4.7200,,,,,,,,,,,,,,
2017-05-31,4.5900,4.5900,,,,,,,,,,,,,,
2017-06-01,4.5800,4.5800,,,,,,,,,,,,,,
2017-06-02,4.8100,4.8100,,,,,,,,,,,,,,
2017-06-05,4.5900,4.5900,,,,,,,,,,,,,,
2017-06-06,4.9400,4.9400,,,,,,,,,,,,,,
2017-06-07,5.3700,5.3700,,,,,,,,,,,,,,
2017-06-08,5.4300,5.4300,,,,,,,,,,,,,,
2017-06-09,5.3500,5.3500,,,,,,,,,,,,,,
2017-06-12,5.5500,5.5500,,,,,,,,,,,,,,
2017-06-13,5.8800,5.8800,,,,,,,,,,,,,,
2017-06-14,5.3900,5.3900,,,,,,,,,,,,,,
2017-06-15,5.5700,5.5700,,,,,,,,,,,,,,
2017-06-16,5.3300,5.3300,,,,,,,,,,,,,,
2017-06-19,5.1400,5.1400,,,,,,,,,,,,,,
2017-06-20,5.2000,5.2000,,,,,,,,,,,,,,
2017-06-21,5.2600,5.2600,,,,,,,,,,,,,,
2017-06-22,5.4000,5.4000,,,,,,,,,,,,,,
2017-06-23,5.4100,5.4100,,,,,,,,,,,,,,
2017-06-26,5.3100,5.3100,,,,,,,,,,,,,,
2017-06-27,5.4900,5.4900,,,,,,,,,,,,,,
2017-06-28,5.7064,5.7064,,,,,,,,,,,,,,
2017-06-29,4.5400,4.5400,,,,,,,,,,,,,,
2017-06-30,4.5300,4.5300,,,,,,,,,,,,,,
2017-07-03,4.1500,4.1500,,,,,,,,,,,,,,
2017-07-05,4.0300,4.0300,,,,,,,,,,,,,,
2017-07-06,4.0100,4.0100,,,,,,,,,,,,,,
2017-07-07,3.9400,3.9400,,,,,,,,,,,,,,
2017-07-10,4.1200,4.1200,,,,,,,,,,,,,,
2017-07-11,4.2992,4.2992,,,,,,,,,,,,,,
2017-07-12,4.5800,4.5800,,,,,,,,,,,,,,
2017-07-13,4.3800,4.3800,,,,,,,,,,,,,,
2017-07-14,4.3700,4.3700,,,,,,,,,,,,,,
2017-07-17,4.5100,4.5100,,,,,,,,,,,,,,
2017-07-18,4.7800,4.7800,,,,,,,,,,,,,,
2017-07-19,4.6200,4.6200,,,,,,,,,,,,,,
2017-07-20,4.5600,4.5600,,,,,,,,,,,,,,
2017-07-21,4.5000,4.5000,,,,,,,,,,,,,,
2017-07-24,4.2000,4.2000,,,,,,,,,,,,,,
2017-07-25,4.3500,4.3500,,,,,,,,,,,,,,
2017-07-26,4.4900,4.4900,,,,,,,,,,,,,,
2017-07-27,4.2200,4.2200,,,,,,,,,,,,,,
2017-07-28,4.3650,4.3650,,,,,,,,,,,,,,
2017-07-31,4.2000,4.2000,,,,,,,,,,,,,,
2017-08-01,4.0800,4.0800,,,,,,,,,,,,,,
2017-08-02,4.0800,4.0800,,,,,,,,,,,,,,
2017-08-03,3.9400,3.9400,,,,,,,,,,,,,,
2017-08-04,3.8500,3.8500,,,,,,,,,,,,,,
2017-08-07,3.9300,3.9300,,,,,,,,,,,,,,
2017-08-08,3.9100,3.9100,,,,,,,,,,,,,,
2017-08-09,3.9428,3.9428,,,,,,,,,,,,,,
2017-08-10,3.9824,3.9824,,,,,,,,,,,,,,
2017-08-11,4.1100,4.1100,,,,,,,,,,,,,,
2017-08-14,4.0500,4.0500,,,,,,,,,,,,,,
2017-08-15,3.9500,3.9500,,,,,,,,,,,,,,
2017-08-16,4.0100,4.0100,,,,,,,,,,,,,,
2017-08-17,3.9000,3.9000,,,,,,,,,,,,,,
2017-08-18,3.9200,3.9200,,,,,,,,,,,,,,
2017-08-21,4.0700,4.0700,,,,,,,,,,,,,,
2017-08-22,3.8800,3.8800,,,,,,,,,,,,,,
2017-08-23,3.9400,3.9400,,,,,,,,,,,,,,
2017-08-24,3.9900,3.9900,,,,,,,,,,,,,,
2017-08-25,4.0400,4.0400,,,,,,,,,,,,,,
2017-08-28,4.1400,4.1400,,,,,,,,,,,,,,
2017-08-29,4.1900,4.1900,,,,,,,,,,,,,,
2017-08-30,4.1700,4.1700,,,,,,,,,,,,,,
2017-08-31,4.2500,4.2500,,,,,,,,,,,,,,
2017-09-01,4.4200,4.4200,,,,,,,,,,,,,,
2017-09-05,4.3600,4.3600,,,,,,,,,,,,,,
2017-09-06,4.3400,4.3400,,,,,,,,,,,,,,
2017-09-07,4.4600,4.4600,,,,,,,,,,,,,,
2017-09-08,4.3700,4.3700,,,,,,,,,,,,,,
2017-09-11,4.2700,4.2700,,,,,,,,,,,,,,
2017-09-12,4.2900,4.2900,,,,,,,,,,,,,,
2017-09-13,4.2900,4.2900,,,,,,,,,,,,,,
2017-09-14,4.2700,4.2700,,,,,,,,,,,,,,
2017-09-15,4.2300,4.2300,,,,,,,,,,,,,,
2017-09-18,4.6700,4.6700,,,,,,,,,,,,,,
2017-09-19,4.8000,4.8000,,,,,,,,,,,,,,
2017-09-20,4.7200,4.7200,,,,,,,,,,,,,,
2017-09-21,4.6600,4.6600,,,,,,,,,,,,,,
2017-09-22,4.7100,4.7100,,,,,,,,,,,,,,
2017-09-25,4.6400,4.6400,,,,,,,,,,,,,,
2017-09-26,4.5500,4.5500,,,,,,,,,,,,,,
2017-09-27,4.3600,4.3600,,,,,,,,,,,,,,
2017-09-28,4.3600,4.3600,,,,,,,,,,,,,,
2017-09-29,4.4300,4.4300,,,,,,,,,,,,,,
2017-10-02,4.4100,4.4100,,,,,,,,,,,,,,
2017-10-03,4.3300,4.3300,,,,,,,,,,,,,,
2017-10-04,4.3300,4.3300,,,,,,,,,,,,,,
2017-10-05,4.1600,4.1600,,,,,,,,,,,,,,
2017-10-06,4.3700,4.3700,,,,,,,,,,,,,,
2017-10-09,4.5550,4.5550,,,,,,,,,,,,,,
2017-10-10,4.3400,4.3400,,,,,,,,,,,,,,
2017-10-11,4.3300,4.3300,,,,,,,,,,,,,,
2017-10-12,4.3000,4.3000,,,,,,,,,,,,,,
2017-10-13,4.2100,4.2100,,,,,,,,,,,,,,
2017-10-16,4.1200,4.1200,,,,,,,,,,,,,,
2017-10-17,4.1800,4.1800,,,,,,,,,,,,,,
2017-10-18,4.1600,4.1600,,,,,,,,,,,,,,
2017-10-19,4.2100,4.2100,,,,,,,,,,,,,,
2017-10-20,4.0500,4.0500,,,,,,,,,,,,,,
2017-10-23,4.0400,4.0400,,,,,,,,,,,,,,
2017-10-24,3.9100,3.9100,,,,,,,,,,,,,,
2017-10-25,3.9000,3.9000,,,,,,,,,,,,,,
2017-10-26,3.8800,3.8800,,,,,,,,,,,,,,
2017-10-27,4.0600,4.0600,,,,,,,,,,,,,,
2017-10-30,4.0100,4.0100,,,,,,,,,,,,,,
2017-10-31,3.9800,3.9800,,,,,,,,,,,,,,
2017-11-01,4.0400,4.0400,,,,,,,,,,,,,,
2017-11-02,3.9900,3.9900,,,,,,,,,,,,,,
2017-11-03,3.9000,3.9000,,,,,,,,,,,,,,
2017-11-06,3.9300,3.9300,,,,,,,,,,,,,,
2017-11-07,3.8700,3.8700,,,,,,,,,,,,,,
2017-11-08,3.8900,3.8900,,,,,,,,,,,,,,
2017-11-09,3.6900,3.6900,,,,,,,,,,,,,,
2017-11-10,3.5500,3.5500,,,,,,,,,,,,,,
2017-11-13,3.3000,3.3000,,,,,,,,,,,,,,
2017-11-14,3.1600,3.1600,,,,,,,,,,,,,,
2017-11-15,3.3100,3.3100,,,,,,,,,,,,,,
