"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2004-08-19,100.3350,2.5083750,,,,,,,,,,,,,,
2004-08-20,108.3100,2.7077500,,,,,,,,,,,,,,
2004-08-23,109.4000,2.7350000,,,,,,,,,,,,,,
2004-08-24,104.8700,2.6217500,,,,,,,,,,,,,,
2004-08-25,106.0000,2.6500000,,,,,,,,,,,,,,
2004-08-26,107.9100,2.6977500,,,,,,,,,,,,,,
2004-08-27,106.1500,2.6537500,,,,,,,,,,,,,,
2004-08-30,102.0100,2.5502500,,,,,,,,,,,,,,
2004-08-31,102.3700,2.5592500,,,,,,,,,,,,,,
2004-09-01,100.2500,2.5062500,,,,,,,,,,,,,,
2004-09-02,101.5100,2.5377500,,,,,,,,,,,,,,
2004-09-03,100.0100,2.5002500,,,,,,,,,,,,,,
2004-09-07,101.5800,2.5395000,,,,,,,,,,,,,,
2004-09-08,102.3000,2.5575000,,,,,,,,,,,,,,
2004-09-09,102.3100,2.5577500,,,,,,,,,,,,,,
2004-09-10,105.3300,2.6332500,,,,,,,,,,,,,,
2004-09-13,107.5000,2.6875000,,,,,,,,,,,,,,
2004-09-14,111.4900,2.7872500,,,,,,,,,,,,,,
2004-09-15,112.0000,2.8000000,,,,,,,,,,,,,,
2004-09-16,113.9700,2.8492500,,,,,,,,,,,,,,
2004-09-17,117.4900,2.9372500,,,,,,,,,,,,,,
2004-09-20,119.3600,2.9840000,,,,,,,,,,,,,,
2004-09-21,117.8400,2.9460000,,,,,,,,,,,,,,
2004-09-22,118.3800,2.9595000,,,,,,,,,,,,,,
2004-09-23,120.8200,3.0205000,,,,,,,,,,,,,,
2004-09-24,119.8300,2.9957500,,,,,,,,,,,,,,
2004-09-27,118.2600,2.9565000,,,,,,,,,,,,,,
2004-09-28,126.8600,3.1715000,,,,,,,,,,,,,,
2004-09-29,131.0800,3.2770000,,,,,,,,,,,,,,
2004-09-30,129.6000,3.2400000,,,,,,,,,,,,,,
2004-10-01,132.5800,3.3145000,,,,,,,,,,,,,,
2004-10-04,135.0600,3.3765000,,,,,,,,,,,,,,
2004-10-05,138.3700,3.4592500,,,,,,,,,,,,,,
2004-10-06,137.0800,3.4270000,,,,,,,,,,,,,,
2004-10-07,138.8500,3.4712500,,,,,,,,,,,,,,
2004-10-08,137.7300,3.4432500,,,,,,,,,,,,,,
2004-10-11,135.2600,3.3815000,,,,,,,,,,,,,,
