"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2016-07-28,18.3500,18.3500,,,,,,,,,,,,,,
2016-07-29,18.2700,18.2700,,,,,,,,,,,,,,
2016-08-01,18.4100,18.4100,,,,,,,,,,,,,,
2016-08-02,18.6000,18.6000,,,,,,,,,,,,,,
2016-08-03,18.2500,18.2500,,,,,,,,,,,,,,
2016-08-04,18.3400,18.3400,,,,,,,,,,,,,,
2016-08-05,18.8100,18.8100,,,,,,,,,,,,,,
2016-08-08,19.3900,19.3900,,,,,,,,,,,,,,
2016-08-09,19.6100,19.6100,,,,,,,,,,,,,,
2016-08-10,19.5900,19.5900,,,,,,,,,,,,,,
2016-08-11,19.6500,19.6500,,,,,,,,,,,,,,
2016-08-12,19.4100,19.4100,,,,,,,,,,,,,,
2016-08-15,19.8200,19.8200,,,,,,,,,,,,,,
2016-08-16,19.4500,19.4500,,,,,,,,,,,,,,
2016-08-17,19.6100,19.6100,,,,,,,,,,,,,,
2016-08-18,19.7200,19.7200,,,,,,,,,,,,,,
2016-08-19,19.9400,19.9400,,,,,,,,,,,,,,
2016-08-22,20.7100,20.7100,,,,,,,,,,,,,,
2016-08-23,20.4400,20.4400,,,,,,,,,,,,,,
2016-08-24,20.0000,20.0000,,,,,,,,,,,,,,
2016-08-25,20.0000,20.0000,,,,,,,,,,,,,,
2016-08-26,20.4600,20.4600,,,,,,,,,,,,,,
2016-08-29,20.4300,20.4300,,,,,,,,,,,,,,
2016-08-30,20.5200,20.5200,,,,,,,,,,,,,,
2016-08-31,20.8000,20.8000,,,,,,,,,,,,,,
2016-09-01,20.5300,20.5300,,,,,,,,,,,,,,
2016-09-02,20.3908,20.3908,,,,,,,,,,,,,,
2016-09-06,20.8100,20.8100,,,,,,,,,,,,,,
2016-09-07,21.1500,21.1500,,,20968706.994642798,443488152.9366951777000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-08,21.3200,21.3200,,,20968706.986343180,447052832.9488365976000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-09,21.0000,21.0000,,,20968707.007215260,440342847.1515204600000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-12,20.6700,20.6700,,,20968707.001658972,433423173.7242909512400,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-13,20.1200,20.1200,,,20968706.976458356,421890384.3663421227200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-14,20.2200,20.2200,,,20968707.004616752,423987255.6333507254400,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-15,20.4700,20.4700,,,20968706.988543700,429229432.0554895390000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-16,19.8100,19.8100,,,20968706.979502037,415390085.2639353529700,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-19,20.2600,20.2600,,,20968707.013171950,424826004.0868637070000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-20,20.6400,20.6400,,,20968707.005860683,432794112.6009644971200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-21,20.7500,20.7500,,,20968707.010417804,435100670.4661694330000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-22,20.8000,20.8000,,,20968706.996051934,436149105.5178802272000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-23,21.5200,21.5200,,,20968707.022440977,451246575.1229298250400,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-26,21.6500,21.6500,,,20968706.983119250,453972506.1845317625000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-27,22.0900,22.0900,,,20968706.988632917,463198737.3789011365300,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-28,22.3300,22.3300,,,20968706.995201180,468231227.2028423494000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-29,21.3300,21.3300,,,20968707.001908075,447262520.3506992397500,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-09-30,22.0000,22.0000,,,20968706.994258095,461311553.8736780900000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-03,22.6400,22.6400,,,20968706.998165924,474731526.4384765193600,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-04,22.2400,22.2400,,,20968707.000792228,466344043.6976191507200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-05,21.5800,21.5800,,,20968706.986693150,452504696.7728381770000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-06,21.2100,21.2100,,,20968707.019674520,444746275.8872965692000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-07,20.9600,20.9600,,,20968706.986392953,439504098.4347962948800,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-10,21.1600,21.1600,,,20968706.985124048,443697839.8052248556800,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-11,21.4400,21.4400,,,20968707.006338816,449569078.2159042150400,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-12,21.7200,21.7200,,,20968707.020872870,455440316.4933587364000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-13,21.9100,21.9100,,,20968706.993848875,459424370.2352288512500,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-14,21.8400,21.8400,,,20968707.003514730,457956560.9567617032000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-17,22.2200,22.2200,,,20968706.996888520,465924669.4708629144000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-18,22.8100,22.8100,,,20968707.013763730,478296206.9839506813000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-19,22.7400,22.7400,,,20968707.017249737,476828397.5722590193800,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-20,22.7600,22.7600,,,20968706.981629197,477247770.9018805237200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-21,22.4800,22.4800,,,20968707.007186860,471376533.5215606128000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-24,22.5000,22.5000,,,20968707.011036314,471795907.7483170650000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-25,22.6500,22.6500,,,20968706.977336620,474941213.0366744430000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-26,22.7500,22.7500,,,20968707.002359636,477038084.3036817190000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-27,22.7200,22.7200,,,20968707.013446410,476409023.3455024352000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-28,22.8200,22.8200,,,20968706.993082773,478505893.5821488798600,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-10-31,24.0500,24.0500,,,20968707.012891310,504297403.6600360055000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-01,23.2400,23.2400,,,20968706.994395970,487312750.5497623428000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-02,23.3100,23.3100,,,20968706.991053432,488780559.9614554999200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-03,23.0000,23.0000,,,20968706.988079187,482280260.7258213010000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-04,24.0400,24.0400,,,20968706.989662090,504087716.0314766436000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-07,23.4300,23.4300,,,20968707.013315980,491296805.3219934114000,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-08,23.9700,23.9700,,,20968706.998456825,502619906.7530100952500,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-09,24.1100,24.1100,,,20968706.986444212,505555525.4431699513200,15386653,15469119,15386653,15469119,20968707,,,,,20968707
2016-11-10,25.3200,25.3200,,,20968707.002144553,530927661.2943000819600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-11,26.8500,26.8500,,,20968707.001089840,563009782.9792622040000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-14,27.4800,27.4800,,,20968706.988672793,576220068.0487283516400,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-15,27.3300,27.3300,,,20968707.016478980,573074762.7603705234000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-16,26.0500,26.0500,,,20968707.005664020,546234817.4975477210000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-17,26.6900,26.6900,,,20968707.013696940,559654790.1955713286000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-18,27.2400,27.2400,,,20968706.983288825,571187578.2247875930000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-21,27.9900,27.9900,,,20968706.990167603,586914108.6547912079700,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-22,28.4200,28.4200,,,20968707.010941680,595930653.2509625456000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-23,28.6900,28.6900,,,20968707.002434943,601592203.8998585146700,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-25,28.7800,28.7800,,,20968707.002720896,603479387.5383073868800,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-28,28.2600,28.2600,,,20968707.018189907,592575660.3340467718200,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-29,27.9500,27.9500,,,20968706.986329097,586075360.2678982611500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-11-30,28.5100,28.5100,,,20968706.987986580,597817836.2274973958000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-01,27.1700,27.1700,,,20968707.005549625,569719769.3407833112500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-02,27.2200,27.2200,,,20968706.999486110,570768204.5260119142000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-05,28.1800,28.1800,,,20968706.990630740,590898162.9959742532000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-06,29.5300,29.5300,,,20968706.997739520,619205917.6432480256000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-07,29.8900,29.8900,,,20968707.016692646,626754652.7289431889400,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-08,30.0800,30.0800,,,20968707.010333247,630738706.8708240697600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-09,30.4300,30.4300,,,20968707.010481417,638077754.3289495193100,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-12,30.5900,30.5900,,,20968706.983218620,641432746.6166575858000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-13,30.0000,30.0000,,,20968706.989947750,629061209.6984325000000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-14,29.8100,29.8100,,,20968706.996194307,625077155.5565522916700,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-15,30.3400,30.3400,,,20968707.005851205,636190570.5575255597000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-16,31.0300,31.0300,,,20968706.988276083,650658977.8462068554900,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-19,31.5400,31.5400,,,20968706.990728814,661353018.4875867935600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-20,31.9000,31.9000,,,20968707.008566850,668901753.5732825150000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-21,32.2700,32.2700,,,20968707.015525248,676660175.3909997529600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-22,32.7100,32.7100,,,20968706.984378540,685886405.4590220434000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-23,33.2700,33.2700,,,20968706.985831720,697628881.4186213244000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-27,33.5300,33.5300,,,20968707.012641220,703080746.1338601066000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-28,34.6700,34.6700,,,20968706.987341322,726985071.2511236337400,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-29,34.4700,34.4700,,,20968707.002530318,722791330.3772200614600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2016-12-30,34.0100,34.0100,,,20968706.995620932,713145724.9210678973200,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-03,34.0900,34.0900,,,20968707.013595140,714823222.0934583226000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-04,33.9700,33.9700,,,20968706.986602070,712306976.3348723179000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-05,32.8300,32.8300,,,20968707.012415763,688402651.2176094992900,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-06,31.7400,31.7400,,,20968707.006617106,665546760.3900269444400,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-09,31.3800,31.3800,,,20968706.984427698,657998025.1713411632400,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-10,31.8500,31.8500,,,20968707.013753660,667853318.3880540710000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-11,31.6500,31.6500,,,20968707.002167564,663659576.6186034006000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-12,31.1000,31.1000,,,20968706.985788980,652126787.2580372780000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-13,31.5700,31.5700,,,20968707.015354745,661982080.4747492996500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-17,31.3100,31.3100,,,20968706.986889523,656530215.7595109651300,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-18,31.4400,31.4400,,,20968707.001180988,659256148.1171302627200,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-19,31.3600,31.3600,,,20968707.014453966,657578651.9732763737600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-20,31.7200,31.7200,,,20968706.999698440,665127386.0304345168000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-23,31.7200,31.7200,,,20968706.999698440,665127386.0304345168000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-24,31.1000,31.1000,,,20968706.985788980,652126787.2580372780000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-25,31.0700,31.0700,,,20968706.993865844,651497726.2994117730800,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-26,30.6000,30.6000,,,20968707.001445327,641642434.2442270062000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-27,30.4200,30.4200,,,20968706.992155800,637868066.7013794360000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-30,29.9500,29.9500,,,20968706.995432537,628012774.5132044831500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-01-31,29.3500,29.3500,,,20968706.988088604,615431550.1004005274000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-01,28.8600,28.8600,,,20968706.988413822,605156883.6856229029200,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-02,28.3700,28.3700,,,20968706.988750280,594882217.2708454436000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-03,28.1600,28.1600,,,20968706.987548716,590478788.7693718425600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-06,29.6500,29.6500,,,20968706.989555040,621722162.2403069360000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-07,31.1400,31.1400,,,20968706.995640110,652965535.8442330254000,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-08,29.9300,29.9300,,,20968706.992535982,627593400.2866019412600,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-09,29.9500,29.9500,,,20968706.995432537,628012774.5132044831500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
2017-02-10,29.7500,29.7500,,,20968706.982983343,623819032.7437544542500,20656207,20741400,20656207,20741400,20968707,20656207,20741400,20656207,20741400,20968707
