"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
1990-01-02,78.0000,4.875000,,,,,,,,,,,,,,
1990-01-03,76.8800,4.805000,,,,,,,,,,,,,,
1990-01-04,76.5000,4.781250,,,,,,,,,,,,,,
1990-01-05,75.8800,4.742500,,,,,,,,,,,,,,
1990-01-08,77.5000,4.843750,,,,,,,,,,,,,,
1990-01-09,76.8800,4.805000,,,,,,,,,,,,,,
1990-01-10,76.3800,4.773750,,,,,,,,,,,,,,
1990-01-11,76.3800,4.773750,,,,,,,,,,,,,,
1990-01-12,73.6200,4.601250,,,,,,,,,,,,,,
1990-01-15,72.3800,4.523750,,,,,,,,,,,,,,
1990-01-16,73.0000,4.562500,,,,,,,,,,,,,,
1990-01-17,72.5000,4.531250,,,,,,,,,,,,,,
1990-01-18,72.1200,4.507500,,,,,,,,,,,,,,
1990-01-19,72.6200,4.538750,,,,,,,,,,,,,,
1990-01-22,70.5000,4.406250,,,,,,,,,,,,,,
1990-01-23,71.0000,4.437500,,,,,,,,,,,,,,
1990-01-24,70.6200,4.413750,,,,,,,,,,,,,,
1990-01-25,68.7500,4.296875,,,,,,,,,,,,,,
1990-01-26,67.5000,4.218750,,,,,,,,,,,,,,
1990-01-29,68.2500,4.265625,,,,,,,,,,,,,,
1990-01-30,66.2500,4.140625,,,,,,,,,,,,,,
1990-01-31,68.8800,4.305000,,,,,,,,,,,,,,
1990-02-01,68.7500,4.296875,,,,,,,,,,,,,,
1990-02-02,69.3800,4.336250,,,,,,,,,,,,,,
1990-02-05,69.1200,4.320000,,,,,,,,,,,,,,
1990-02-06,68.7500,4.296875,,,,,,,,,,,,,,
1990-02-07,69.5000,4.343750,,,,,,,,,,,,,,
1990-02-08,69.3800,4.336250,,,,,,,,,,,,,,
1990-02-09,69.0000,4.312500,,,,,,,,,,,,,,
1990-02-12,68.5000,4.281250,,,,,,,,,,,,,,
1990-02-13,67.0000,4.187500,,,,,,,,,,,,,,
1990-02-14,67.1200,4.195000,,,,,,,,,,,,,,
1990-02-15,69.5000,4.343750,,,,,,,,,,,,,,
1990-02-16,68.5000,4.281250,,,,,,,,,,,,,,
1990-02-20,68.5000,4.281250,,,,,,,,,,,,,,
1990-02-21,68.5000,4.281250,,,,,,,,,,,,,,
1990-02-22,67.7500,4.234375,,,,,,,,,,,,,,
