"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
1990-01-02,88.7500,0.6163194444,,,,,,,,,,,,,,
1990-01-03,89.2500,0.6197916667,,,,,,,,,,,,,,
1990-01-04,91.8700,0.6379861111,,,,,,,,,,,,,,
1990-01-05,89.6200,0.6223611111,,,,,,,,,,,,,,
1990-01-08,91.0000,0.6319444444,,,,,,,,,,,,,,
1990-01-09,90.7500,0.6302083333,,,,,,,,,,,,,,
1990-01-10,88.2500,0.6128472222,,,,,,,,,,,,,,
1990-01-11,86.5000,0.6006944444,,,,,,,,,,,,,,
1990-01-12,86.1200,0.5980555556,,,,,,,,,,,,,,
1990-01-15,86.1200,0.5980555556,,,,,,,,,,,,,,
1990-01-16,88.7500,0.6163194444,,,,,,,,,,,,,,
1990-01-17,87.5000,0.6076388889,,,,,,,,,,,,,,
1990-01-18,95.0000,0.6597222222,,,,,,,,,,,,,,
1990-01-19,94.1200,0.6536111111,,,,,,,,,,,,,,
1990-01-22,90.7500,0.6302083333,,,,,,,,,,,,,,
1990-01-23,89.7500,0.6232638889,,,,,,,,,,,,,,
1990-01-24,90.7500,0.6302083333,,,,,,,,,,,,,,
1990-01-25,90.7500,0.6302083333,,,,,,,,,,,,,,
1990-01-26,90.7500,0.6302083333,,,,,,,,,,,,,,
1990-01-29,91.5000,0.6354166667,,,,,,,,,,,,,,
1990-01-30,91.2500,0.6336805556,,,,,,,,,,,,,,
1990-01-31,92.5000,0.6423611111,,,,,,,,,,,,,,
1990-02-01,93.7500,0.6510416667,,,,,,,,,,,,,,
1990-02-02,93.7500,0.6510416667,,,,,,,,,,,,,,
1990-02-05,94.2500,0.6545138889,,,,,,,,,,,,,,
1990-02-06,94.0000,0.6527777778,,,,,,,,,,,,,,
1990-02-07,93.2500,0.6475694444,,,,,,,,,,,,,,
1990-02-08,94.2500,0.6545138889,,,,,,,,,,,,,,
1990-02-09,94.5000,0.6562500000,,,,,,,,,,,,,,
1990-02-12,94.7500,0.6579861111,,,,,,,,,,,,,,
1990-02-13,94.7500,0.6579861111,,,,,,,,,,,,,,
1990-02-14,95.0000,0.6597222222,,,,,,,,,,,,,,
1990-02-15,97.0000,0.6736111111,,,,,,,,,,,,,,
1990-02-16,98.0000,0.6805555556,,,,,,,,,,,,,,
1990-02-20,100.2500,0.6961805556,,,,,,,,,,,,,,
1990-02-21,96.1200,0.6675000000,,,,,,,,,,,,,,
1990-02-22,96.3700,0.6692361111,,,,,,,,,,,,,,
1990-02-23,97.5000,0.6770833333,,,,,,,,,,,,,,
1990-02-26,99.2500,0.6892361111,,,,,,,,,,,,,,
1990-02-27,98.0000,0.6805555556,,,,,,,,,,,,,,
1990-02-28,98.7500,0.6857638889,,,,,,,,,,,,,,
1990-03-01,100.0000,0.6944444444,,,,,,,,,,,,,,
1990-03-02,103.7500,0.7204861111,,,,,,,,,,,,,,
1990-03-05,105.2500,0.7309027778,,,,,,,,,,,,,,
1990-03-06,104.5000,0.7256944444,,,,,,,,,,,,,,
1990-03-07,102.7500,0.7135416667,,,,,,,,,,,,,,
1990-03-08,106.2500,0.7378472222,,,,,,,,,,,,,,
1990-03-09,106.5000,0.7395833333,,,,,,,,,,,,,,
1990-03-12,108.2500,0.7517361111,,,,,,,,,,,,,,
