"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
1999-01-22,19.6900,0.0410208333,,,,,,,,,,,,,,
1999-01-25,21.7500,0.0453125000,,,,,,,,,,,,,,
1999-01-26,20.0600,0.0417916667,,,,,,,,,,,,,,
1999-01-27,20.0000,0.0416666667,,,,,,,,,,,,,,
1999-01-28,19.9400,0.0415416667,,,,,,,,,,,,,,
1999-01-29,19.0000,0.0395833333,,,,,,,,,,,,,,
1999-02-01,19.3800,0.0403750000,,,,,,,,,,,,,,
1999-02-02,17.8800,0.0372500000,,,,,,,,,,,,,,
1999-02-03,18.2500,0.0380208333,,,,,,,,,,,,,,
1999-02-04,19.2500,0.0401041667,,,,,,,,,,,,,,
1999-02-05,19.8100,0.0412708333,,,,,,,,,,,,,,
1999-02-08,19.1300,0.0398541667,,,,,,,,,,,,,,
1999-02-09,18.3800,0.0382916667,,,,,,,,,,,,,,
1999-02-10,18.1900,0.0378958333,,,,,,,,,,,,,,
1999-02-11,19.7500,0.0411458333,,,,,,,,,,,,,,
1999-02-12,20.8800,0.0435000000,,,,,,,,,,,,,,
1999-02-16,21.0000,0.0437500000,,,,,,,,,,,,,,
1999-02-17,19.8800,0.0414166667,,,,,,,,,,,,,,
1999-02-18,20.1900,0.0420625000,,,,,,,,,,,,,,
1999-02-19,20.8800,0.0435000000,,,,,,,,,,,,,,
1999-02-22,21.0000,0.0437500000,,,,,,,,,,,,,,
1999-02-23,22.0000,0.0458333333,,,,,,,,,,,,,,
1999-02-24,23.7500,0.0494791667,,,,,,,,,,,,,,
1999-02-25,23.0000,0.0479166667,,,,,,,,,,,,,,
1999-02-26,21.9400,0.0457083333,,,,,,,,,,,,,,
1999-03-01,22.0600,0.0459583333,,,,,,,,,,,,,,
1999-03-02,21.8800,0.0455833333,,,,,,,,,,,,,,
1999-03-03,20.3800,0.0424583333,,,,,,,,,,,,,,
1999-03-04,19.9400,0.0415416667,,,,,,,,,,,,,,
1999-03-05,21.0600,0.0438750000,,,,,,,,,,,,,,
