"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2010-06-29,23.8900,1.5926666667,,,,,,,,,,,,,,
2010-06-30,23.8300,1.5886666667,,,,,,,,,,,,,,
2010-07-01,21.9600,1.4640000000,,,,,,,,,,,,,,
2010-07-02,19.2000,1.2800000000,,,,,,,,,,,,,,
2010-07-06,16.1100,1.0740000000,,,,,,,,,,,,,,
2010-07-07,15.8000,1.0533333333,,,,,,,,,,,,,,
2010-07-08,17.4600,1.1640000000,,,,,,,,,,,,,,
2010-07-09,17.4000,1.1600000000,,,,,,,,,,,,,,
2010-07-12,17.0500,1.1366666667,,,,,,,,,,,,,,
2010-07-13,18.1400,1.2093333333,,,,,,,,,,,,,,
2010-07-14,19.8400,1.3226666667,,,,,,,,,,,,,,
2010-07-15,19.8900,1.3260000000,,,,,,,,,,,,,,
2010-07-16,20.6400,1.3760000000,,,,,,,,,,,,,,
2010-07-19,21.9100,1.4606666667,,,,,,,,,,,,,,
2010-07-20,20.3000,1.3533333333,,,,,,,,,,,,,,
2010-07-21,20.2200,1.3480000000,,,,,,,,,,,,,,
2010-07-22,21.0000,1.4000000000,,,,,,,,,,,,,,
2010-07-23,21.2900,1.4193333333,,,,,,,,,,,,,,
2010-07-26,20.9500,1.3966666667,,,,,,,,,,,,,,
2010-07-27,20.5500,1.3700000000,,,,,,,,,,,,,,
2010-07-28,20.7200,1.3813333333,,,,,,,,,,,,,,
2010-07-29,20.3500,1.3566666667,,,,,,,,,,,,,,
2010-07-30,19.9400,1.3293333333,,,,,,,,,,,,,,
2010-08-02,20.9200,1.3946666667,,,,,,,,,,,,,,
2010-08-03,21.9500,1.4633333333,,,,,,,,,,,,,,
2010-08-04,21.2600,1.4173333333,,,,,,,,,,,,,,
2010-08-05,20.4500,1.3633333333,,,,,,,,,,,,,,
2010-08-06,19.5900,1.3060000000,,,,,,,,,,,,,,
2010-08-09,19.6000,1.3066666667,,,,,,,,,,,,,,
2010-08-10,19.0300,1.2686666667,,,,,,,,,,,,,,
2010-08-11,17.9000,1.1933333333,,,,,,,,,,,,,,
2010-08-12,17.6000,1.1733333333,,,,,,,,,,,,,,
2010-08-13,18.3200,1.2213333333,,,,,,,,,,,,,,
2010-08-16,18.7800,1.2520000000,,,,,,,,,,,,,,
2010-08-17,19.1500,1.2766666667,,,,,,,,,,,,,,
2010-08-18,18.7700,1.2513333333,,,,,,,,,,,,,,
2010-08-19,18.7900,1.2526666667,,,,,,,,,,,,,,
2010-08-20,19.1000,1.2733333333,,,,,,,,,,,,,,
2010-08-23,20.1300,1.3420000000,,,,,,,,,,,,,,
2010-08-24,19.2000,1.2800000000,,,,,,,,,,,,,,
2010-08-25,19.9000,1.3266666667,,,,,,,,,,,,,,
2010-08-26,19.7500,1.3166666667,,,,,,,,,,,,,,
2010-08-27,19.7000,1.3133333333,,,,,,,,,,,,,,
2010-08-30,19.8700,1.3246666667,,,,,,,,,,,,,,
2010-08-31,19.4800,1.2986666667,,,,,,,,,,,,,,
2010-09-01,20.4500,1.3633333333,,,,,,,,,,,,,,
2010-09-02,21.0600,1.4040000000,,,,,,,,,,,,,,
2010-09-03,21.0500,1.4033333333,,,,,,,,,,,,,,
2010-09-07,20.5400,1.3693333333,,,,,,,,,,,,,,
2010-09-08,20.9000,1.3933333333,,,,,,,,,,,,,,
2010-09-09,20.7100,1.3806666667,,,,,,,,,,,,,,
2010-09-10,20.1700,1.3446666667,,,,,,,,,,,,,,
2010-09-13,20.7200,1.3813333333,,,,,,,,,,,,,,
2010-09-14,21.1200,1.4080000000,,,,,,,,,,,,,,
2010-09-15,21.9800,1.4653333333,,,,,,,,,,,,,,
2010-09-16,20.9400,1.3960000000,,,,,,,,,,,,,,
2010-09-17,20.2300,1.3486666667,,,,,,,,,,,,,,
2010-09-20,21.0550,1.4036666667,,,,,,,,,,,,,,
2010-09-21,20.7700,1.3846666667,,,,,,,,,,,,,,
2010-09-22,19.8700,1.3246666667,,,,,,,,,,,,,,
